year_built,sold_date,sold_price,baths_full,lot_sqft,sqft,baths,garage,stories,beds,type,tags,city,state,list_price,price_per_sqft,age_of_house
1998.0,2024-01-16,129900.0,2.0,11761.0,1478.0,2.0,2.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard']",Montgomery,Alabama,129900.0,87.88903924221921,26.0
1945.0,2024-01-16,88500.0,2.0,6534.0,1389.0,2.0,1.0,2.0,4.0,single_family,"['city_view', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more']",Montgomery,Alabama,88000.0,63.71490280777538,79.0
1969.0,2024-01-16,145000.0,2.0,17424.0,2058.0,2.0,,1.0,3.0,single_family,"['carport', 'central_air', 'central_heat', 'dishwasher', 'laundry_room', 'single_story']",Montgomery,Alabama,149000.0,70.45675413022352,55.0
1955.0,2024-01-16,65000.0,2.0,9712.0,1432.0,2.0,,1.0,3.0,single_family,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'recreation_facilities', 'single_story']",Montgomery,Alabama,68000.0,45.391061452513966,69.0
1984.0,2024-01-12,169000.0,2.0,10890.0,1804.0,2.0,,1.0,3.0,single_family,"['city_view', 'single_story', 'big_yard', 'fenced_yard', 'ensuite', 'new_roof']",Montgomery,Alabama,169999.0,93.68070953436808,40.0
1999.0,2024-01-12,180000.0,2.0,12632.0,1476.0,2.0,,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'furniture']",Montgomery,Alabama,189900.0,121.95121951219512,25.0
2001.0,2024-01-12,260000.0,2.0,12632.0,1888.0,2.0,,1.0,4.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'high_ceiling', 'floor_plan', 'rental_property', 'furniture', 'new_roof']",Montgomery,Alabama,254999.0,137.71186440677965,23.0
1962.0,2024-01-12,60000.0,2.0,13068.0,1722.0,2.0,,1.0,3.0,single_family,"['single_story', 'fixer_upper']",Montgomery,Alabama,75000.0,34.84320557491289,62.0
1965.0,2024-01-12,159000.0,2.0,11326.0,1635.0,2.0,2.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'dishwasher', 'fireplace', 'hardwood_floors', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'ensuite']",Montgomery,Alabama,159000.0,97.24770642201835,59.0
1974.0,2024-01-12,424900.0,2.0,740520.0,3339.0,3.0,,2.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'high_ceiling', 'master_bedroom', 'big_lot', 'ensuite']",Montgomery,Alabama,424900.0,127.25366876310272,50.0
2000.0,2024-01-12,370000.0,,3397680.0,1635.0,0.0,,,,land,"['horse_facilities', 'rental_property', 'big_lot', 'pond']",Montgomery,Alabama,395000.0,226.29969418960243,24.0
